cod_projeto;nome_projeto;orcamento_proj;data_inicio_orc;cod_departamento
P0001;PROJETOP0001;20000,00;01/02/2019;D0001
P0002;PROJETOP0002;22500,00;07/02/2020;D0001
P0003;PROJETOP0003;41000,00;15/03/2021;D0001
P0004;PROJETOP0004;70000,00;18/09/2021;D0002
P0005;PROJETOP0005;35000,00;01/03/2022;D0002
P0006;PROJETOP0006;70000,00;03/07/2021;D0002
P0007;PROJETOP0007;65000,00;27/05/2021;D0002
P0008;PROJETOP0008;25000,00;14/03/2018;D0003
P0009;PROJETOP0009;12000,00;13/07/2021;D0003
P0010;PROJETOP0010;21000,00;08/10/2019;D0004
P0011;PROJETOP0011;39000,00;30/01/2021;D0005
